"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2021,202101,4398,2021000120569,3120.0,2021000043981,250001,1,1,3120.0,1,0,1,41,1,1,100,0,0,6,63,1,10,33000,1,11
2021,202101,4554,2021000130715,3588.0,2021000045541,250001,1,1,3432.0,2,0,1,52,1,1,100,0,0,2,23,1,10,55000,1,11
2021,202101,4554,2021000130715,3588.0,2021000045541,250001,1,2,2184.0,2,0,2,49,1,1,100,0,0,6,63,1,10,25000,1,11
2021,202101,4554,2021000130715,3588.0,2021000045541,250001,1,3,1560.0,0,0,1,19,6,1,100,0,0,6,63,1,10,22000,1,11
2021,202101,4710,2021000141299,14820.0,2021000047101,120001,1,1,14820.0,0,0,2,25,6,1,100,0,0,11,114,1,10,65000,1,11
2021,202101,4866,2021000152460,18408.0,2021000048661,240001,1,1,18564.0,0,0,2,50,6,2,200,0,0,8,81,1,10,34000,1,11
2021,202101,5022,2021000164616,46644.0,2021000050221,70001,1,1,46800.0,2,0,2,34,1,1,100,0,0,7,71,1,10,7800,1,11
2021,202101,5022,2021000164616,46644.0,2021000050221,70001,1,2,44304.0,2,0,1,41,1,1,100,0,0,6,63,1,10,63000,1,11
2021,202101,5334,2021000185614,19188.0,2021000053341,30101,1,1,19188.0,0,0,2,32,6,1,100,0,0,11,114,1,10,100000,1,11
2021,202101,5490,2021000198019,9048.0,2021000054901,220001,1,2,10140.0,0,0,2,64,1,1,100,0,0,6,63,1,10,35000,1,11
2021,202101,5646,2021000208076,21684.0,2021000056461,20001,1,1,21684.0,0,0,2,41,6,2,200,0,0,10,101,1,10,40000,1,11
2021,202101,6114,2021000241254,17472.0,2021000061141,130501,1,1,17316.0,1,0,2,49,1,1,100,0,0,11,115,1,10,150000,1,11
2021,202101,6114,2021000241254,17472.0,2021000061141,130501,1,2,20592.0,1,0,1,49,1,1,100,0,0,11,114,1,10,95000,2,20
2021,202101,6270,2021000250664,4992.0,2021000062701,150001,1,1,4992.0,1,1,1,28,1,1,100,0,0,8,81,1,10,43000,1,11
2021,202101,6582,2021000272245,15444.0,2021000065821,130301,1,1,15444.0,0,0,1,24,6,1,100,0,0,10,101,1,10,50000,1,11
2021,202101,6894,2021000294188,5772.0,2021000068941,230001,1,1,5616.0,0,0,1,28,4,2,200,0,0,6,63,1,10,9000,1,11
2021,202101,7050,2021000303458,3900.0,2021000070501,80001,1,1,3900.0,0,0,1,56,4,1,100,0,0,6,64,1,12,9000,1,13
2021,202101,7362,2021000323371,9672.0,2021000073621,240001,1,1,9672.0,0,0,2,23,6,1,100,0,0,10,101,1,10,20000,1,11
2021,202101,7674,2021000345670,24804.0,2021000076741,160001,1,1,24804.0,0,0,2,23,6,1,100,0,0,11,114,1,10,10000,1,11
2021,202101,8142,2021000376326,8424.0,2021000081421,130201,1,1,8424.0,0,0,2,27,6,1,100,0,0,10,101,1,10,50000,1,11
2021,202101,8298,2021000385880,17784.0,2021000082981,30101,1,2,16380.0,4,0,1,42,1,1,100,0,0,11,114,1,10,150000,1,11
2021,202101,8610,2021000408593,11700.0,2021000086101,160001,1,1,11856.0,0,0,1,31,4,1,100,0,0,11,114,1,10,50000,1,11
2021,202101,8766,2021000419424,21216.0,2021000087661,140001,1,1,21216.0,2,0,2,37,1,1,100,0,0,3,30,1,10,24000,1,11
2021,202101,8766,2021000419424,21216.0,2021000087661,140001,1,2,30420.0,2,0,1,38,1,1,100,0,0,3,30,1,10,0,1,11
2021,202101,8922,2021000429511,7644.0,2021000089221,250001,1,1,7644.0,1,0,2,30,4,1,100,0,0,8,81,1,10,25000,1,11
2021,202101,9546,2021000474427,8424.0,2021000095461,70001,1,1,8424.0,0,0,1,31,1,1,100,0,0,6,63,1,10,65000,1,11
2021,202101,9546,2021000474427,8424.0,2021000095461,70001,1,2,9828.0,0,0,2,29,1,1,100,0,0,8,81,1,10,65000,1,11
2021,202101,9702,2021000484466,17472.0,2021000097021,150001,1,2,22776.0,1,0,1,60,1,1,100,0,0,11,115,1,10,125000,1,11
2021,202101,9702,2021000484466,17472.0,2021000097021,150001,1,3,27456.0,0,0,1,23,6,1,100,0,0,8,81,1,10,10000,1,11
2021,202101,9858,2021000495092,28860.0,2021000098581,60001,1,1,29016.0,0,0,2,34,3,2,200,0,0,6,65,1,10,20000,1,11
2021,202101,10326,2021000525557,3900.0,2021000103261,70001,1,1,3900.0,1,0,2,56,1,1,100,0,0,8,81,1,10,36000,1,11
2021,202101,10326,2021000525557,3900.0,2021000103261,70001,1,2,2340.0,1,0,1,48,1,1,100,0,0,2,26,1,10,36000,1,11
2021,202101,10794,2021000558811,60060.0,2021000107941,140001,1,1,60060.0,2,0,1,36,1,7,700,0,0,8,81,1,10,58000,1,11
2021,202101,10950,2021000569492,6396.0,2021000109501,70001,1,1,6396.0,1,0,1,42,1,1,100,0,0,6,63,1,10,73000,1,11
2021,202101,10950,2021000569492,6396.0,2021000109501,70001,1,2,6708.0,1,0,2,41,1,1,100,0,0,10,101,1,10,33000,1,11
2021,202101,11106,2021000579536,27924.0,2021000111061,190001,1,1,27768.0,2,1,2,34,1,1,100,0,0,11,116,1,10,115000,1,11
2021,202101,11106,2021000579536,27924.0,2021000111061,190001,1,2,19968.0,2,1,1,38,1,1,100,0,0,10,101,1,10,73000,1,11
2021,202101,11418,2021000601467,56316.0,2021000114181,50001,1,1,56160.0,0,0,1,56,1,1,100,0,0,10,101,1,10,124000,1,11
2021,202101,11418,2021000601467,56316.0,2021000114181,50001,1,2,59280.0,0,0,2,53,1,1,100,0,0,10,101,1,10,53000,1,11
2021,202101,11574,2021000611655,8892.0,2021000115741,240001,1,1,8892.0,2,0,2,51,4,1,100,0,0,7,71,1,10,50000,1,11
2021,202101,12198,2021000654266,38532.0,2021000121981,260001,1,1,38376.0,1,0,1,57,1,1,100,0,0,6,65,1,10,73000,1,11
2021,202101,12198,2021000654266,38532.0,2021000121981,260001,1,2,55380.0,1,0,2,50,1,1,100,0,0,11,114,1,10,70000,1,11
2021,202101,12354,2021000663553,2964.0,2021000123541,250001,1,1,2964.0,0,0,2,53,6,2,200,0,0,6,65,1,10,70000,1,11
2021,202101,12510,2021000672435,35568.0,2021000125101,180001,1,1,35412.0,2,0,2,34,1,1,100,0,0,6,63,1,10,15900,1,11
2021,202101,12510,2021000672435,35568.0,2021000125101,180001,1,2,29952.0,2,0,1,35,1,1,100,0,0,6,63,1,10,65000,1,11
2021,202101,12822,2021000695047,44460.0,2021000128221,20001,1,1,44460.0,1,0,2,46,4,2,200,0,0,7,71,1,10,40000,1,11
2021,202101,13290,2021000724744,9204.0,2021000132901,270101,1,1,9204.0,1,0,2,41,6,2,200,0,0,10,101,1,10,24100,1,11
2021,202101,13446,2021000735938,19032.0,2021000134461,190001,1,1,19032.0,1,0,1,46,4,1,100,0,0,6,63,1,10,40000,1,11
2021,202101,13758,2021000757703,14820.0,2021000137581,70001,1,2,13260.0,1,0,2,39,1,1,100,0,0,6,63,1,10,30000,1,11
2021,202101,14070,2021000779583,22152.0,2021000140701,250001,1,1,22152.0,4,0,2,42,4,1,100,0,0,10,101,1,10,48100,1,11
2021,202101,14070,2021000779583,22152.0,2021000140701,250001,1,2,41340.0,0,0,1,18,6,1,100,0,0,5,50,1,10,10400,1,11
2021,202101,14226,2021000790518,8892.0,2021000142261,150001,1,1,8892.0,0,0,2,57,1,1,100,0,0,6,65,1,10,45000,1,11
2021,202101,14226,2021000790518,8892.0,2021000142261,150001,1,2,8268.0,0,0,1,57,1,1,100,0,0,6,63,1,10,49000,1,11
2021,202101,14694,2021000822181,3744.0,2021000146941,250001,1,1,3588.0,0,0,2,37,6,1,100,0,0,8,81,1,10,8000,1,11
2021,202101,14850,2021000833306,10452.0,2021000148501,150001,1,3,14040.0,0,0,1,47,4,1,100,0,0,7,71,1,10,24000,1,11
2021,202101,15162,2021000855431,26208.0,2021000151621,30101,1,1,26208.0,2,0,2,44,1,2,200,0,0,8,81,1,10,31000,1,11
2021,202101,15162,2021000855431,26208.0,2021000151621,30101,1,2,38844.0,2,0,1,44,1,2,200,0,0,8,81,1,10,35000,1,11
2021,202101,15162,2021000855431,26208.0,2021000151621,30101,1,3,36192.0,0,0,1,24,6,2,200,0,0,7,71,1,10,21500,1,11
2021,202101,15318,2021000866943,21060.0,2021000153181,240001,1,1,21060.0,0,0,2,36,1,2,200,0,0,10,101,1,10,110000,1,11
2021,202101,15318,2021000866943,21060.0,2021000153181,240001,1,2,26676.0,0,0,1,43,1,2,200,0,0,6,63,1,10,80000,1,11
2021,202101,15474,2021000878215,32292.0,2021000154741,80001,1,1,32136.0,2,0,2,39,1,1,100,0,0,8,81,1,10,25000,1,11
2021,202101,15474,2021000878215,32292.0,2021000154741,80001,1,2,24804.0,2,0,1,40,1,1,100,0,0,6,63,1,10,27000,1,11
2021,202101,15786,2021000900625,8892.0,2021000157861,30101,1,2,9516.0,0,0,2,52,4,2,200,0,0,6,65,1,12,12600,1,11
2021,202101,15786,2021000900625,8892.0,2021000157861,30101,1,3,8268.0,0,0,2,24,6,2,200,0,0,7,71,1,10,15000,1,11
2021,202101,15942,2021000911096,12168.0,2021000159421,130501,1,2,13260.0,0,0,2,23,4,1,100,0,0,6,65,1,10,0,1,11
2021,202101,16098,2021000920922,11856.0,2021000160981,190001,1,1,12012.0,0,0,1,54,1,2,200,0,0,7,71,1,10,24900,1,11
2021,202101,16098,2021000920922,11856.0,2021000160981,190001,1,2,15132.0,0,0,2,46,1,2,200,0,0,10,101,1,10,28500,1,11
2021,202101,16566,2021000953558,41340.0,2021000165661,190001,1,3,64584.0,2,0,1,51,4,1,100,0,0,8,81,1,10,14000,1,11
2021,202101,16566,2021000953558,41340.0,2021000165661,190001,1,4,62556.0,0,0,2,24,6,1,100,0,0,10,101,1,10,16800,1,11
2021,202101,16722,2021000966289,5148.0,2021000167221,140001,1,2,56004.0,0,0,1,25,2,1,100,0,0,0,2,1,10,0,1,11
2021,202101,16878,2021000978030,6864.0,2021000168781,40001,1,1,6864.0,2,0,1,52,1,1,100,0,0,7,71,1,10,50000,1,11
2021,202101,16878,2021000978030,6864.0,2021000168781,40001,1,3,8892.0,0,0,1,20,6,1,100,0,0,6,63,1,10,50000,1,11
2021,202101,17034,2021000988731,17316.0,2021000170341,130401,1,1,17316.0,3,0,1,35,1,1,100,0,0,6,64,1,10,54000,1,11
2021,202101,17034,2021000988731,17316.0,2021000170341,130401,1,2,16692.0,3,0,2,39,1,1,100,0,0,7,71,1,10,41000,1,11
2021,202101,17346,2021001009905,10608.0,2021000173461,30201,1,1,10608.0,0,0,2,58,4,8,802,0,0,7,71,1,10,72000,1,11
2021,202101,17502,2021001020956,16068.0,2021000175021,130301,1,1,16068.0,1,0,2,31,6,2,200,0,0,7,71,1,10,30000,1,11
2021,202101,17814,2021001041422,9360.0,2021000178141,250001,1,1,9516.0,0,0,1,52,4,2,200,0,0,8,81,1,10,101000,2,20
2021,202101,17814,2021001041422,9360.0,2021000178141,250001,1,2,11388.0,0,0,2,47,4,2,200,0,0,10,101,1,10,70000,2,20
2021,202101,18126,2021001063564,2184.0,2021000181261,250001,1,2,3432.0,0,0,1,64,1,2,200,0,0,6,63,1,10,30000,1,11
2021,202101,18282,2021001073575,43836.0,2021000182821,10001,1,1,43992.0,3,1,1,38,1,7,700,1,100,6,63,1,10,0,1,11
2021,202101,18906,2021001114895,16068.0,2021000189061,120001,1,1,16224.0,0,0,1,27,1,1,100,0,0,10,101,1,10,62000,1,11
2021,202101,18906,2021001114895,16068.0,2021000189061,120001,1,2,17316.0,0,0,2,27,1,1,100,0,0,10,101,1,10,41400,1,11
2021,202101,19218,2021001136943,2340.0,2021000192181,230001,1,1,2340.0,1,0,2,60,1,1,100,0,0,8,81,1,10,60000,1,11
2021,202101,19218,2021001136943,2340.0,2021000192181,230001,1,3,4992.0,0,0,1,36,2,1,100,0,0,6,65,1,10,60000,1,11
2021,202101,19374,2021001147432,2028.0,2021000193741,230001,1,1,1872.0,0,0,1,63,1,1,100,0,0,7,71,1,10,105000,2,20
2021,202101,19374,2021001147432,2028.0,2021000193741,230001,1,2,2028.0,0,0,2,55,1,1,100,0,0,7,71,1,10,35000,1,11
2021,202101,19530,2021001158714,21840.0,2021000195301,130401,1,1,21996.0,2,1,1,48,6,2,200,0,0,6,63,1,10,60000,1,11
2021,202101,19842,2021001177589,23400.0,2021000198421,70001,1,1,23400.0,0,0,1,20,6,1,100,0,0,6,65,1,10,23000,1,11
2021,202101,19998,2021001188913,10608.0,2021000199981,220001,1,1,10452.0,1,0,2,51,6,1,100,0,0,6,63,1,10,34000,1,11
2021,202101,19998,2021001188913,10608.0,2021000199981,220001,1,2,29172.0,0,0,2,26,6,1,100,0,0,7,71,1,10,33000,1,11
2021,202101,20154,2021001200626,6708.0,2021000201541,130101,1,2,8736.0,0,0,1,28,6,2,200,0,0,6,63,1,10,52000,1,11
2021,202101,20622,2021001232371,34008.0,2021000206221,270101,1,3,54912.0,0,0,2,46,5,1,100,0,0,6,63,1,10,28000,1,11
2021,202101,20778,2021001244151,17628.0,2021000207781,110001,1,1,17628.0,2,0,2,46,4,1,100,0,0,8,81,1,12,17000,1,11
2021,202101,20778,2021001244151,17628.0,2021000207781,110001,1,2,13728.0,0,0,2,25,6,8,801,0,0,8,81,1,10,3200,1,11
2021,202101,20778,2021001244151,17628.0,2021000207781,110001,1,3,22620.0,0,0,1,24,6,8,801,0,0,7,71,1,10,30000,1,11
2021,202101,20934,2021001254822,15912.0,2021000209341,130501,1,1,16068.0,0,0,1,64,1,1,100,0,0,11,114,1,10,58000,1,11
2021,202101,20934,2021001254822,15912.0,2021000209341,130501,1,2,14040.0,0,0,2,57,1,1,100,0,0,11,114,1,10,16600,1,11
2021,202101,21090,2021001265456,3744.0,2021000210901,240001,1,2,4680.0,0,0,1,33,6,8,801,0,0,6,63,1,10,48000,1,11
2021,202101,21246,2021001276832,11544.0,2021000212461,30101,1,3,22932.0,0,0,2,30,6,2,200,0,0,6,63,1,10,4000,1,11
2021,202101,21558,2021001297279,37752.0,2021000215581,50001,1,1,37752.0,0,0,2,21,6,1,100,0,0,7,71,1,10,18000,1,11
2021,202101,21558,2021001297279,37752.0,2021000215581,50001,1,2,68016.0,0,0,1,23,6,1,100,0,0,6,63,1,10,22000,2,20
2021,202101,21558,2021001297279,37752.0,2021000215581,50001,1,3,17160.0,0,0,2,19,6,1,100,0,0,6,63,1,10,30000,1,11
2021,202101,22026,2021001331052,4680.0,2021000220261,240001,1,1,4680.0,1,0,1,49,1,1,100,0,0,8,81,1,10,87000,1,11
2021,202101,22026,2021001331052,4680.0,2021000220261,240001,1,2,6864.0,1,0,2,49,1,1,100,0,0,11,114,1,10,40000,1,11
2021,202101,22182,2021001343939,24804.0,2021000221821,10001,1,2,27924.0,0,0,1,55,1,1,100,0,0,6,63,1,10,40000,1,13
2021,202101,22338,2021001355682,15600.0,2021000223381,90001,1,1,15444.0,0,0,2,62,4,1,100,0,0,6,63,1,10,48000,1,11
2021,202101,22494,2021001365462,17316.0,2021000224941,130501,1,1,17316.0,0,0,2,61,1,1,100,0,0,8,81,1,10,128000,1,11
2021,202101,22494,2021001365462,17316.0,2021000224941,130501,1,2,20436.0,0,0,1,58,1,1,100,0,0,8,81,1,10,163000,1,11
2021,202101,22650,2021001375789,8892.0,2021000226501,250001,1,1,8736.0,2,1,2,34,6,2,200,0,0,6,65,1,10,12800,1,11
2021,202101,22962,2021001397636,21684.0,2021000229621,140001,1,1,21528.0,4,0,1,42,1,1,100,0,0,8,81,1,10,100000,1,11
2021,202101,22962,2021001397636,21684.0,2021000229621,140001,1,2,21996.0,4,0,2,40,1,1,100,0,0,10,101,1,10,35000,1,11
2021,202101,22962,2021001397636,21684.0,2021000229621,140001,1,3,16692.0,0,0,1,18,6,1,100,0,0,7,71,1,10,10000,1,11
2021,202101,23274,2021010013036,11232.0,2021000232741,40002,4,1,11232.0,0,0,1,37,2,1,100,0,0,6,63,1,10,150000,1,11
2021,202101,23586,2021010122795,1560.0,2021000235861,30002,4,1,1560.0,0,0,1,31,2,1,100,0,0,10,101,1,10,31000,1,11
2021,202101,23742,2021000018234,6552.0,2021000237421,40002,1,2,10608.0,5,0,1,41,1,8,802,0,0,6,63,1,10,65000,1,11
2021,202101,23742,2021000018234,6552.0,2021000237421,40002,1,3,5772.0,0,0,2,19,6,8,802,0,0,7,71,1,10,0,1,11
2021,202101,23898,2021000097434,12636.0,2021000238981,30002,1,1,12636.0,0,0,2,60,1,1,100,0,0,10,101,1,10,56000,1,11
2021,202101,23898,2021000097434,12636.0,2021000238981,30002,1,2,13260.0,0,0,1,62,1,1,100,0,0,6,63,1,10,66000,1,11
2021,202101,24054,2021000203418,6084.0,2021000240541,20002,1,2,6396.0,0,0,2,65,1,1,100,0,0,6,65,1,10,30900,1,11
2021,202101,24210,2021000294325,18408.0,2021000242101,30002,1,1,18408.0,0,0,2,39,6,1,100,0,0,11,114,1,10,28000,1,11
2021,202101,24210,2021000294325,18408.0,2021000242101,30002,1,2,18252.0,0,0,2,35,6,1,100,0,0,10,101,1,10,65000,1,11
2021,202101,24366,2021000383576,14352.0,2021000243661,30002,1,1,14352.0,0,0,1,19,6,1,100,0,0,6,63,1,10,9000,1,11
2021,202101,24366,2021000383576,14352.0,2021000243661,30002,1,2,2340.0,0,0,2,20,6,8,813,0,0,6,63,1,10,16500,1,11
2021,202101,24678,2021000582881,9204.0,2021000246781,40002,1,1,9048.0,0,0,1,56,2,6,600,0,0,6,63,1,10,2000,1,11
2021,202101,24834,2021000687647,8112.0,2021000248341,20002,1,1,8112.0,1,0,2,58,4,1,100,0,0,7,71,1,10,0,1,11
2021,202101,24990,2021000792184,56316.0,2021000249901,10102,1,1,56316.0,3,0,2,42,1,1,100,0,0,10,101,1,10,27000,1,11
2021,202101,24990,2021000792184,56316.0,2021000249901,10102,1,2,57096.0,3,0,1,51,1,1,100,0,0,11,116,1,10,75000,1,11
2021,202101,24990,2021000792184,56316.0,2021000249901,10102,1,3,25272.0,0,0,2,18,6,1,100,0,0,6,63,1,10,10000,1,11
2021,202101,25146,2021000876768,6708.0,2021000251461,30002,1,2,12480.0,3,0,2,41,1,8,826,1,100,8,81,1,10,20000,1,11
2021,202101,25302,2021000975188,8424.0,2021000253021,10102,1,1,8424.0,0,0,1,20,1,1,100,0,0,6,65,1,14,11900,1,12
2021,202101,25302,2021000975188,8424.0,2021000253021,10102,1,2,11856.0,0,0,2,20,1,1,100,0,0,6,63,1,10,24000,1,11
2021,202101,25458,2021001071820,17628.0,2021000254581,40002,1,2,24180.0,0,0,1,35,6,3,370,0,0,6,63,1,10,60000,1,11
2021,202101,25770,2021001266058,31824.0,2021000257701,20002,1,1,31824.0,0,0,1,24,6,8,826,1,100,7,71,1,10,85000,1,11
2021,202101,25926,2021001369050,8268.0,2021000259261,20002,1,1,8268.0,0,0,1,43,1,1,100,0,0,7,71,1,10,60000,1,11
2021,202101,25926,2021001369050,8268.0,2021000259261,20002,1,2,9360.0,0,0,2,31,1,1,100,0,0,11,114,1,10,56000,1,11
2021,202101,26238,2021010010636,13728.0,2021000262381,20704,4,1,13728.0,0,0,1,18,6,1,100,0,0,6,65,1,10,6000,1,11
2021,202101,26394,2021010018152,6084.0,2021000263941,13204,4,1,6084.0,0,0,1,23,6,1,100,0,0,6,63,1,14,28600,1,12
2021,202101,27174,2021010052138,13728.0,2021000271741,20704,4,1,13728.0,0,0,1,19,6,6,610,0,0,6,65,1,10,6000,1,11
2021,202101,27486,2021010065376,3276.0,2021000274861,90004,4,1,3276.0,0,0,1,23,6,1,100,0,0,6,63,1,14,13800,1,12
2021,202101,28890,2021010127093,8112.0,2021000288901,10904,4,1,8112.0,0,0,1,20,6,2,200,0,0,7,71,1,10,25500,1,11
2021,202101,29202,2021010143020,11076.0,2021000292021,30004,4,1,11076.0,0,0,1,34,4,8,802,0,0,6,61,1,10,380,1,11
2021,202101,29670,2021000003720,25896.0,2021000296701,80504,1,1,25896.0,1,0,1,57,1,8,826,1,100,2,22,1,10,26000,1,11
2021,202101,29670,2021000003720,25896.0,2021000296701,80504,1,3,45396.0,0,0,1,30,6,8,826,1,100,6,63,1,10,31200,1,11
2021,202101,29982,2021000018686,7800.0,2021000299821,10504,1,2,8736.0,0,0,2,62,1,8,830,0,0,10,101,1,10,0,1,11
2021,202101,30138,2021000025458,19968.0,2021000301381,10904,1,1,19968.0,1,0,2,58,5,1,100,0,0,6,63,1,10,67000,1,11
2021,202101,30294,2021000033131,7644.0,2021000302941,20904,1,1,7644.0,2,0,1,36,1,1,100,0,0,6,63,1,10,40000,1,11
2021,202101,30450,2021000041561,14508.0,2021000304501,10504,1,2,14664.0,4,0,1,44,1,1,100,0,0,11,115,1,10,495000,1,11
2021,202101,30450,2021000041561,14508.0,2021000304501,10504,1,3,15444.0,0,0,1,18,6,1,100,0,0,6,63,1,10,4500,1,11
2021,202101,30606,2021000049450,10140.0,2021000306061,11904,1,1,10140.0,2,0,2,33,1,7,700,1,100,8,81,1,10,23000,1,11
2021,202101,30606,2021000049450,10140.0,2021000306061,11904,1,2,10764.0,2,0,1,49,1,7,700,1,100,6,64,1,10,38000,1,11
2021,202101,31074,2021000073958,8736.0,2021000310741,10604,1,2,7644.0,1,0,2,63,4,1,100,0,0,7,71,1,10,0,1,11
2021,202101,31386,2021000088707,8892.0,2021000313861,40004,1,1,8892.0,2,1,2,35,6,3,315,0,0,8,81,1,10,38500,1,11
2021,202101,31542,2021000097284,17316.0,2021000315421,80304,1,1,17316.0,2,0,2,33,6,1,100,1,100,6,63,1,10,22000,1,11
2021,202101,31542,2021000097284,17316.0,2021000315421,80304,1,2,26676.0,2,0,1,38,6,1,100,1,100,0,2,1,10,50000,2,20
2021,202101,31698,2021000104433,26676.0,2021000316981,80704,1,2,25584.0,3,1,1,30,1,1,100,1,100,6,63,1,10,60000,1,11
2021,202101,32166,2021000127005,8736.0,2021000321661,20104,1,1,8736.0,2,0,2,56,4,8,826,1,100,7,71,1,10,3500,1,11
2021,202101,32166,2021000127005,8736.0,2021000321661,20104,1,3,8112.0,0,0,2,32,6,8,826,1,100,6,65,1,10,25000,1,11
2021,202101,32478,2021000142701,11544.0,2021000324781,11204,1,1,11700.0,0,0,2,63,1,1,100,0,0,10,101,1,10,0,1,11
2021,202101,32634,2021000150138,30888.0,2021000326341,11904,1,3,23400.0,0,0,1,51,6,8,826,1,100,3,30,1,10,65000,1,11
2021,202101,32790,2021000157440,7020.0,2021000327901,30004,1,1,7020.0,1,0,2,58,6,3,315,0,0,6,63,1,10,24000,1,11
2021,202101,32946,2021000164365,8268.0,2021000329461,11504,1,1,8268.0,1,1,1,29,6,7,700,4,460,10,101,1,10,25000,1,11
2021,202101,32946,2021000164365,8268.0,2021000329461,11504,1,2,6552.0,1,1,2,25,6,1,100,0,0,6,63,1,10,45000,1,11
2021,202101,33102,2021000172994,7644.0,2021000331021,20404,1,1,7644.0,0,0,2,59,4,1,100,0,0,11,114,1,10,16000,1,11
2021,202101,33258,2021000180570,4524.0,2021000332581,10104,1,1,4680.0,0,0,1,59,1,1,100,0,0,6,63,1,10,15000,1,11
2021,202101,33258,2021000180570,4524.0,2021000332581,10104,1,2,4680.0,0,0,2,57,1,1,100,0,0,8,81,1,10,135000,1,11
2021,202101,33414,2021000187732,12168.0,2021000334141,12404,1,1,12012.0,1,0,1,50,1,1,100,0,0,6,65,1,10,55000,1,11
2021,202101,33414,2021000187732,12168.0,2021000334141,12404,1,2,14820.0,1,0,2,49,1,1,100,0,0,6,65,1,10,54000,1,11
2021,202101,33726,2021000204158,8268.0,2021000337261,12404,1,1,8424.0,0,0,1,64,6,1,100,0,0,6,65,1,10,49000,1,11
2021,202101,34038,2021000221140,3900.0,2021000340381,11804,1,1,3900.0,0,0,2,59,4,7,700,1,100,11,115,1,10,13000,1,11
2021,202101,34194,2021000229798,7488.0,2021000341941,10304,1,1,7644.0,2,0,1,49,1,1,100,0,0,11,114,1,10,125000,1,11
2021,202101,34506,2021000245207,9828.0,2021000345061,10204,1,1,9828.0,0,0,2,49,6,1,100,0,0,11,114,1,10,35000,1,11
2021,202101,34662,2021000253582,26364.0,2021000346621,13004,1,3,27300.0,0,0,2,39,6,1,100,0,0,10,101,1,10,25000,1,11
2021,202101,34818,2021000261983,7332.0,2021000348181,11404,1,1,7332.0,0,0,1,60,6,1,100,0,0,10,101,1,10,16000,1,11
2021,202101,35130,2021000278202,23712.0,2021000351301,50004,1,1,23868.0,2,0,2,41,4,1,100,0,0,7,71,1,10,27000,1,11
2021,202101,35130,2021000278202,23712.0,2021000351301,50004,1,2,16224.0,0,0,1,24,6,1,100,0,0,6,63,1,10,8500,1,11
2021,202101,35286,2021000285684,8424.0,2021000352861,10704,1,1,8424.0,2,2,1,38,1,6,610,0,0,11,114,1,10,135000,1,11
2021,202101,35598,2021000299959,6240.0,2021000355981,13304,1,1,6240.0,2,0,1,39,1,1,100,0,0,10,101,1,10,95000,1,11
2021,202101,35598,2021000299959,6240.0,2021000355981,13304,1,2,6240.0,2,0,2,43,1,1,100,0,0,7,71,1,10,24000,1,11
2021,202101,35598,2021000299959,6240.0,2021000355981,13304,1,7,5772.0,3,0,1,64,1,1,100,0,0,6,65,1,10,85000,1,11
2021,202101,35754,2021000307230,5772.0,2021000357541,80704,1,1,5772.0,1,0,1,51,1,1,100,1,100,6,61,1,10,40000,1,11
